Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Luxembourg,164/6,20.0,8.20,2,won,,v Malta,Marsa,12 Jul 2023,
Luxembourg,110,18.4,5.89,1,lost,,v France,Marsa,12 Jul 2023,
France,113/1,11.2,9.97,2,won,,v Luxembourg,Marsa,12 Jul 2023,
France,153/7,20.0,7.65,1,won,,v Malta,Marsa,12 Jul 2023,
Malta,123,18.2,6.70,2,lost,,v France,Marsa,12 Jul 2023,
Luxembourg,174/6,20.0,8.70,1,lost,,v Malta,Marsa,13 Jul 2023,
Malta,175/4,18.2,9.54,2,won,,v Luxembourg,Marsa,13 Jul 2023,
Romania,134/5,20.0,6.70,1,lost,,v Switzerland,Marsa,13 Jul 2023,
Switzerland,139/4,17.4,7.86,2,won,,v Romania,Marsa,13 Jul 2023,
France,191/3,20.0,9.55,1,won,,v Romania,Marsa,13 Jul 2023,
Romania,103,18.1,5.66,2,lost,,v France,Marsa,13 Jul 2023,
Luxembourg,118/8,20.0,5.90,1,lost,,v Switzerland,Marsa,14 Jul 2023,
Switzerland,119/2,15.4,7.59,2,won,,v Luxembourg,Marsa,14 Jul 2023,
Malta,187/7,20.0,9.35,1,won,,v Romania,Marsa,14 Jul 2023,
Romania,146/9,20.0,7.30,2,lost,,v Malta,Marsa,14 Jul 2023,
Afghanistan,154/7,20.0,7.70,1,lost,,v Bangladesh,Sylhet,14 Jul 2023,
Bangladesh,157/8,19.5,7.91,2,won,,v Afghanistan,Sylhet,14 Jul 2023,
France,148/4,20.0,7.40,1,lost,,v Switzerland,Marsa,14 Jul 2023,
Switzerland,151/4,20.0,7.55,2,won,,v France,Marsa,14 Jul 2023,
Romania,162/7,20.0,8.10,1,lost,,v Luxembourg,Marsa,15 Jul 2023,
Luxembourg,163/3,17.3,9.31,2,won,,v Romania,Marsa,15 Jul 2023,
Malta,156/9,20.0,7.80,1,lost,,v Switzerland,Marsa,15 Jul 2023,
Switzerland,157/4,16.2,9.61,2,won,,v Malta,Marsa,15 Jul 2023,
France,187/5,20.0,9.35,1,lost,,v Luxembourg,Marsa,15 Jul 2023,
Luxembourg,191/6,18.5,10.14,2,won,,v France,Marsa,15 Jul 2023,
France,78,16.3,4.72,1,lost,,v Malta,Marsa,16 Jul 2023,
Malta,82/3,10.1,8.06,2,won,,v France,Marsa,16 Jul 2023,
Luxembourg,149/9,20.0,7.45,1,lost,,v Romania,Marsa,16 Jul 2023,
Romania,151/3,16.3,9.15,2,won,,v Luxembourg,Marsa,16 Jul 2023,
Afghanistan,116/7,17.0,6.82,1,lost,,v Bangladesh,Sylhet,16 Jul 2023,
Bangladesh,119/4,16.1,7.36,2,won,,v Afghanistan,Sylhet,16 Jul 2023,
Malta,164/6,20.0,8.20,1,lost,,v Switzerland,Marsa,16 Jul 2023,
Switzerland,166/4,18.1,9.13,2,won,,v Malta,Marsa,16 Jul 2023,
Austria,104/9,20.0,5.20,1,lost,,v Jersey,Edinburgh,20 Jul 2023,
Jersey,106/2,9.2,11.35,2,won,,v Austria,Edinburgh,20 Jul 2023,
Ireland,158/8,20.0,7.90,1,won,,v Italy,Edinburgh (Golden),20 Jul 2023,
Italy,151/9,20.0,7.55,2,lost,,v Ireland,Edinburgh (Golden),20 Jul 2023,
Scotland,234/5,20.0,11.70,1,won,,v Germany,Edinburgh (Golden),20 Jul 2023,
Germany,65/7,11.0,5.90,2,lost,,v Scotland,Edinburgh (Golden),20 Jul 2023,
Denmark,122/9,20.0,6.10,1,lost,,v Ireland,Edinburgh,21 Jul 2023,
Ireland,123/1,14.3,8.48,2,won,,v Denmark,Edinburgh,21 Jul 2023,
Austria,83,18.4,4.44,1,lost,,v Germany,Edinburgh (Golden),21 Jul 2023,
Germany,86/1,10.1,8.45,2,won,,v Austria,Edinburgh (Golden),21 Jul 2023,
Scotland,149/6,20.0,7.45,1,won,,v Jersey,Edinburgh,21 Jul 2023,
Jersey,135/9,20.0,6.75,2,lost,,v Scotland,Edinburgh,21 Jul 2023,
Japan,166/7,20.0,8.30,1,won,,v Philippines,Port Moresby,22 Jul 2023,
Philippines,113/5,20.0,5.65,2,lost,,v Japan,Port Moresby,22 Jul 2023,
Vanuatu,71/8,20.0,3.55,1,lost,,v P.N.G.,Port Moresby,22 Jul 2023,
P.N.G.,75/1,6.3,11.53,2,won,,v Vanuatu,Port Moresby,22 Jul 2023,
Japan,131,19.4,6.66,1,won,,v Vanuatu,Port Moresby,23 Jul 2023,
Vanuatu,110/8,20.0,5.50,2,lost,,v Japan,Port Moresby,23 Jul 2023,
P.N.G.,162/7,20.0,8.10,1,won,,v Philippines,Port Moresby,23 Jul 2023,
Philippines,45,17.0,2.64,2,lost,,v P.N.G.,Port Moresby,23 Jul 2023,
Ireland,226/4,20.0,11.30,1,won,,v Austria,Edinburgh,23 Jul 2023,
Austria,98,18.4,5.25,2,lost,,v Ireland,Edinburgh,23 Jul 2023,
Italy,183/8,20.0,9.15,1,won,,v Jersey,Edinburgh (Golden),23 Jul 2023,
Jersey,158,20.0,7.90,2,lost,,v Italy,Edinburgh (Golden),23 Jul 2023,
Denmark,124/9,20.0,6.20,1,lost,,v Germany,Edinburgh,23 Jul 2023,
Germany,126/4,16.5,7.48,2,won,,v Denmark,Edinburgh,23 Jul 2023,
Scotland,245/2,20.0,12.25,1,won,,v Italy,Edinburgh,24 Jul 2023,
Italy,90,12.4,7.10,2,lost,,v Scotland,Edinburgh,24 Jul 2023,
Austria,97/9,20.0,4.85,1,lost,,v Denmark,Edinburgh (Golden),24 Jul 2023,
Denmark,98/2,12.4,7.73,2,won,,v Austria,Edinburgh (Golden),24 Jul 2023,
Jersey,78/9,20.0,3.90,1,lost,,v Ireland,Edinburgh (Golden),24 Jul 2023,
Ireland,80/1,10.2,7.74,2,won,,v Jersey,Edinburgh (Golden),24 Jul 2023,
Vanuatu,97,19.3,4.97,1,lost,,v Philippines,Port Moresby,25 Jul 2023,
Philippines,98/4,17.4,5.54,2,won,,v Vanuatu,Port Moresby,25 Jul 2023,
Japan,87/8,20.0,4.35,1,lost,,v P.N.G.,Port Moresby,25 Jul 2023,
P.N.G.,92/4,15.1,6.06,2,won,,v Japan,Port Moresby,25 Jul 2023,
Italy,150/8,20.0,7.50,1,won,,v Denmark,Edinburgh,25 Jul 2023,
Denmark,124,19.3,6.35,2,lost,,v Italy,Edinburgh,25 Jul 2023,
Scotland,232/2,20.0,11.60,1,won,,v Austria,Edinburgh (Golden),25 Jul 2023,
Austria,66,16.3,4.00,2,lost,,v Scotland,Edinburgh (Golden),25 Jul 2023,
Jersey,190/5,20.0,9.50,1,won,,v Germany,Edinburgh,25 Jul 2023,
Germany,139/8,20.0,6.95,2,lost,,v Jersey,Edinburgh,25 Jul 2023,
P.N.G.,148/7,20.0,7.40,1,won,,v Vanuatu,Port Moresby,26 Jul 2023,
Vanuatu,109,19.2,5.63,2,lost,,v P.N.G.,Port Moresby,26 Jul 2023,
China,23,11.2,2.02,1,lost,,v Malaysia,Kuala Lumpur,26 Jul 2023,
Malaysia,24/2,4.5,4.96,2,won,,v China,Kuala Lumpur,26 Jul 2023,
Japan,127/9,20.0,6.35,1,won,,v Philippines,Port Moresby,26 Jul 2023,
Philippines,94/5,20.0,4.70,2,lost,,v Japan,Port Moresby,26 Jul 2023,
Bhutan,105,20.0,5.25,1,won,,v Myanmar,Kuala Lumpur,26 Jul 2023,
Myanmar,74/9,20.0,3.70,2,lost,,v Bhutan,Kuala Lumpur,26 Jul 2023,
China,26,10.5,2.40,1,lost,,v Thailand,Kuala Lumpur,27 Jul 2023,
Thailand,27/1,4.1,6.48,2,won,,v China,Kuala Lumpur,27 Jul 2023,
Malaysia,180/7,20.0,9.00,1,won,,v Bhutan,Kuala Lumpur,27 Jul 2023,
